,product_name,product_price,product_desc1,product_img_url,product_buy_link
25,Men & Women Slim Mid Rise Light Blue Jeans,"₹1,598",Not Mentioned,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/g/e/z/30-jeans-insane-original-imagws7aju8n2zne.jpeg?q=70,https://www.flipkart.com/insane-slim-men-women-light-blue-jeans/p/itm623cf324638e5?pid=JEAGWYFFHUB7WXRH&lid=LSTJEAGWYFFHUB7WXRHENU0QC&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_26&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGWYFFHUB7WXRH.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
26,Men Slim Mid Rise Black Jeans,₹399,75% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/9/c/v/30-ud0015-30-united-denim-original-imafvu2c2jbhwhwq-bb.jpeg?q=70,https://www.flipkart.com/united-denim-slim-men-black-jeans/p/itm74bf71093033e?pid=JEAFVU2CDZXU5DFN&lid=LSTJEAFVU2CDZXU5DFNXOK30R&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_27&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NBLws7Ky6GPlZWK5cMSEGv9BJnGk9hakxl7YRU0kVUOwQ%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
27,Men Slim Mid Rise Grey Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/o/2/v/34-ljrmf005-lzard-original-imagteqtztcr7pem.jpeg?q=70,https://www.flipkart.com/lzard-slim-men-grey-jeans/p/itmcc22630bf7feb?pid=JEAGTERCGMMUDK5E&lid=LSTJEAGTERCGMMUDK5EC4NL48&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_28&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NC4nHoZrJDoNWwTyd_O9-WZ1uF2OHepNgZdfVSxaUQUYw%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
28,Men Skinny Mid Rise Dark Blue Jeans,₹460,76% off,https://rukminim2.flixcart.com/image/612/612/jpr86fk0/jean/n/d/h/32-6544944-roadster-original-imafbxhytu7ge3h6.jpeg?q=70,https://www.flipkart.com/roadster-skinny-men-dark-blue-jeans/p/itmfbxkzzg2yjvfk?pid=JEAFBX5F8PFSJQMP&lid=LSTJEAFBX5F8PFSJQMPIJVQV6&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_29&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAFBX5F8PFSJQMP.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
29,Men Slim Mid Rise Black Jeans,₹499,61% off,https://rukminim2.flixcart.com/image/612/612/l59xq4w0/jean/p/4/m/32-black-plain-28-fosen-original-imagfzsyjtkbqhyw.jpeg?q=70,https://www.flipkart.com/maahit-slim-men-black-jeans/p/itmf2c76bb6326da?pid=JEAGXJPKAZCYMZNA&lid=LSTJEAGXJPKAZCYMZNAT6LVJD&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_30&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGXJPKAZCYMZNA.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
30,Men Slim Mid Rise Light Blue Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/w/p/9/40-ljrme005-lzard-original-imagtepx2z2gjm4g.jpeg?q=70,https://www.flipkart.com/lzard-slim-men-light-blue-jeans/p/itmae28fec6499aa?pid=JEAGTERAGKQBZPEC&lid=LSTJEAGTERAGKQBZPECHCPUDD&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_31&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NC_QjljnRAGcz0DI6uHljoPmg9dJHMRa5sKM8YGTEjovA%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
31,Men Slim Mid Rise Black Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/b/x/v/42-ljrmb005-lzard-original-imagtdt7krg3jm6a.jpeg?q=70,https://www.flipkart.com/lzard-slim-men-black-jeans/p/itm9c3b49b4f0c0a?pid=JEAGTDT8RT6ZG4AX&lid=LSTJEAGTDT8RT6ZG4AX062RNK&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_32&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4ND7CIhpD_Vu8UK9LNa59VsrTBCJ81S1ItL5DT9h4dY6wg%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
32,Men Slim Mid Rise Dark Grey Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/w/t/k/42-mx12-marsh-x-original-imagh76hyvgydfdm.jpeg?q=70,https://www.flipkart.com/marsh-x-slim-men-dark-grey-jeans/p/itm887fe729b40f5?pid=JEAGH76Y7RQQKNQG&lid=LSTJEAGH76Y7RQQKNQGJRTD1T&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_33&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGH76Y7RQQKNQG.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
33,Men Tapered Fit Mid Rise Dark Blue Jeans,₹615,58% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/a/l/c/32-17780928-roadster-original-imaghmkjnfeg54wh.jpeg?q=70,https://www.flipkart.com/roadster-tapered-fit-men-dark-blue-jeans/p/itm0ae40632d5b6b?pid=JEAGHMHVZVTRKDEQ&lid=LSTJEAGHMHVZVTRKDEQOFXQDN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_34&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGHMHVZVTRKDEQ.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
34,Men Tapered Fit Mid Rise Black Jeans,₹649,50% off,https://rukminim2.flixcart.com/image/612/612/kflftzk0-0/jean/z/j/t/36-000878-highlander-original-imafwyerewprbcmz.jpeg?q=70,https://www.flipkart.com/highlander-tapered-fit-men-black-jeans/p/itm9e52b6573afe3?pid=JEAFEBZYNZTSKQZK&lid=LSTJEAFEBZYNZTSKQZKKKHWZ0&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_35&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAFEBZYNZTSKQZK.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
35,Boys Regular Mid Rise Blue Jeans,"₹1,430",34% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/7/j/1/-original-imagx7hqpd9mhhwq.jpeg?q=70,https://www.flipkart.com/here-now-regular-boys-blue-jeans/p/itm969c838a452c0?pid=JEAGWU4FVJXHF6ZU&lid=LSTJEAGWU4FVJXHF6ZUCSSSYI&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_36&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGWU4FVJXHF6ZU.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
36,Men Slim Mid Rise Blue Jeans,₹759,68% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/y/c/7/32-70019-ragzo-original-imaghrfqguf6nm4y.jpeg?q=70,https://www.flipkart.com/ragzo-slim-men-blue-jeans/p/itm5740778c2877b?pid=JEAGHR2XTXNJDXMA&lid=LSTJEAGHR2XTXNJDXMASINV1K&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_37&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4ND-Coi0XmFD2zIU3JKgYH71iVlT-KRNRaD22Fm5cWsrKA%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
37,Men Slim Mid Rise Light Blue Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/j/z/j/34-ljrmg005-lzard-original-imagtewwznfh57eh.jpeg?q=70,https://www.flipkart.com/lzard-slim-men-light-blue-jeans/p/itmafb8f47a1c5a4?pid=JEAGTEWXCUWFHRQF&lid=LSTJEAGTEWXCUWFHRQF97ITOL&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_38&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NBJTkCIIxi8JuO-S-E4VDBFenyzjfcfB7RvhAkhas2OOw%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
38,Men Skinny Mid Rise Blue Jeans,₹425,74% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/e/z/g/28-10092097-roadster-original-imafzq425tmayhqg-bb.jpeg?q=70,https://www.flipkart.com/roadster-skinny-men-blue-jeans/p/itm7abc1ea4b9b8b?pid=JEAFZP5RPDCUHJWD&lid=LSTJEAFZP5RPDCUHJWD1ZFN2U&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_39&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAFZP5RPDCUHJWD.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
39,Men Regular Mid Rise Blue Jeans,₹526,69% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/m/k/w/32-ssr23jn-knees-m-pln-lbu-campus-sutra-original-imagpng2dcpuhp34.jpeg?q=70,https://www.flipkart.com/campus-sutra-regular-men-blue-jeans/p/itm831fca0e6116f?pid=JEAGPNG2XUPM6ZGU&lid=LSTJEAGPNG2XUPM6ZGUGYSQCN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_40&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGPNG2XUPM6ZGU.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
